model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M640,1e-05,1e-06,0.0,0.08,0.012916,0.1322,nSEG,2,GNSS,0.006083999999999999,0.0678,0.32021052631578945,0.33899999999999997,0.32960526315789473
M641,1e-05,1e-06,0.25,0.03,0.013076,0.07922,nSEG,2,GNSS,0.005923999999999999,0.12078000000000001,0.31178947368421045,0.6039,0.45784473684210525
M642,1e-05,1e-06,0.25,0.035,0.013077,0.08472,nSEG,2,GNSS,0.0059229999999999994,0.11528000000000001,0.31173684210526315,0.5764,0.44406842105263156
M643,1e-05,1e-06,0.25,0.04,0.013057,0.09007,nSEG,2,GNSS,0.005943,0.10993000000000001,0.31278947368421056,0.5496500000000001,0.43121973684210535
M644,1e-05,1e-06,0.25,0.05,0.013023,0.09996,nSEG,2,GNSS,0.005977,0.10004000000000002,0.31457894736842107,0.5002000000000001,0.4073894736842106
M645,1e-05,1e-06,0.25,0.08,0.012933,0.1251,nSEG,2,GNSS,0.0060669999999999995,0.07490000000000002,0.31931578947368416,0.3745000000000001,0.34690789473684214
M646,1e-05,1e-06,0.5,0.03,0.013103,0.07584,nSEG,2,GNSS,0.0058969999999999995,0.12416,0.31036842105263157,0.6208,0.4655842105263158
M647,1e-05,1e-06,0.5,0.035,0.013049,0.08156,nSEG,2,GNSS,0.005951,0.11844000000000002,0.31321052631578944,0.5922000000000001,0.4527052631578947
M648,1e-05,1e-06,0.5,0.04,0.013061,0.08633,nSEG,2,GNSS,0.005939,0.11367000000000001,0.31257894736842107,0.56835,0.44046447368421054
M649,1e-05,1e-06,0.5,0.05,0.013027,0.09574,nSEG,2,GNSS,0.005972999999999999,0.10426,0.3143684210526315,0.5213,0.41783421052631575
M650,1e-05,1e-06,0.5,0.08,0.012943,0.1197,nSEG,2,GNSS,0.006057,0.08030000000000001,0.3187894736842105,0.4015,0.36014473684210524
M651,1e-05,5.5e-06,-0.5,0.03,0.018061,0.114,nSEG,2,GNSS,0.0009389999999999989,0.08600000000000001,0.049421052631578886,0.43,0.23971052631578943
M652,1e-05,5.5e-06,-0.5,0.035,0.018021,0.1228,nSEG,2,GNSS,0.0009790000000000007,0.0772,0.051526315789473726,0.386,0.21876315789473688
M653,1e-05,5.5e-06,-0.5,0.04,0.017984,0.1311,nSEG,2,GNSS,0.0010159999999999995,0.06890000000000002,0.05347368421052629,0.3445000000000001,0.19898684210526318
M654,1e-05,5.5e-06,-0.5,0.05,0.017915,0.1464,nSEG,2,GNSS,0.0010849999999999992,0.05360000000000001,0.057105263157894694,0.268,0.16255263157894737
M655,1e-05,5.5e-06,-0.5,0.08,0.017743,0.1854,nSEG,2,GNSS,0.0012570000000000012,0.014600000000000002,0.06615789473684217,0.07300000000000001,0.06957894736842109
M656,1e-05,5.5e-06,-0.25,0.03,0.018104,0.1033,nSEG,2,GNSS,0.000896000000000001,0.09670000000000001,0.047157894736842156,0.48350000000000004,0.2653289473684211
M657,1e-05,5.5e-06,-0.25,0.035,0.018064,0.1113,nSEG,2,GNSS,0.0009359999999999993,0.08870000000000001,0.04926315789473681,0.44350000000000006,0.24638157894736842
M658,1e-05,5.5e-06,-0.25,0.04,0.01803,0.1187,nSEG,2,GNSS,0.0009699999999999986,0.08130000000000001,0.0510526315789473,0.40650000000000003,0.22877631578947366
M659,1e-05,5.5e-06,-0.25,0.05,0.017968,0.1324,nSEG,2,GNSS,0.0010319999999999982,0.06760000000000002,0.054315789473684116,0.3380000000000001,0.1961578947368421
M660,1e-05,5.5e-06,-0.25,0.08,0.017812,0.1673,nSEG,2,GNSS,0.001187999999999998,0.03270000000000001,0.06252631578947358,0.16350000000000003,0.11301315789473682
M661,1e-05,5.5e-06,0.0,0.03,0.018128,0.09653,nSEG,2,GNSS,0.0008720000000000012,0.10347,0.04589473684210533,0.51735,0.28162236842105265
M662,1e-05,5.5e-06,0.0,0.035,0.018092,0.1038,nSEG,2,GNSS,0.0009079999999999991,0.09620000000000001,0.04778947368421048,0.48100000000000004,0.26439473684210524
M663,1e-05,5.5e-06,0.0,0.04,0.018057,0.1107,nSEG,2,GNSS,0.0009429999999999994,0.0893,0.04963157894736839,0.4465,0.24806578947368418
M664,1e-05,5.5e-06,0.0,0.05,0.017999,0.1234,nSEG,2,GNSS,0.0010009999999999984,0.07660000000000002,0.05268421052631571,0.38300000000000006,0.2178421052631579
M665,1e-05,5.5e-06,0.0,0.08,0.017854,0.1556,nSEG,2,GNSS,0.0011460000000000012,0.04440000000000002,0.060315789473684274,0.22200000000000011,0.1411578947368422
M666,1e-05,5.5e-06,0.25,0.03,0.018122,0.09175,nSEG,2,GNSS,0.0008780000000000003,0.10825000000000001,0.046210526315789494,0.54125,0.29373026315789474
M667,1e-05,5.5e-06,0.25,0.035,0.018109,0.09845,nSEG,2,GNSS,0.0008909999999999994,0.10155000000000002,0.04689473684210523,0.50775,0.2773223684210526
M668,1e-05,5.5e-06,0.25,0.04,0.018076,0.1049,nSEG,2,GNSS,0.0009240000000000012,0.09510000000000002,0.048631578947368484,0.4755000000000001,0.2620657894736843
M669,1e-05,5.5e-06,0.25,0.05,0.018018,0.1168,nSEG,2,GNSS,0.0009820000000000002,0.08320000000000001,0.051684210526315805,0.41600000000000004,0.2338421052631579
M670,1e-05,5.5e-06,0.25,0.08,0.017882,0.1472,nSEG,2,GNSS,0.001118000000000001,0.052800000000000014,0.058842105263157946,0.26400000000000007,0.16142105263157902
